,PLAYER_LAST_NAME,PLAYER_FIRST_NAME,PERSON_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,POSITION,HEIGHT,WEIGHT,COLLEGE,COUNTRY
0,Achiuwa,Precious,1630173,Toronto,Raptors,TOR,F,6-8,225,Memphis,Nigeria
1,Anunoby,O.G.,1628384,Toronto,Raptors,TOR,F,6-7,232,Indiana,United Kingdom
2,Banton,Dalano,1630625,Toronto,Raptors,TOR,F,6-7,204,Nebraska,Canada
3,Barnes,Scottie,1630567,Toronto,Raptors,TOR,F,6-8,225,Florida State,USA
4,Barton,Will,203115,Toronto,Raptors,TOR,G,6-5,181,Memphis,USA
5,Boucher,Chris,1628449,Toronto,Raptors,TOR,F-C,6-9,200,Oregon,Saint Lucia
6,Dowtin Jr.,Jeff,1630288,Toronto,Raptors,TOR,G,6-3,177,Rhode Island,USA
7,Flynn,Malachi,1630201,Toronto,Raptors,TOR,G,6-1,175,San Diego State,USA
8,Harper Jr.,Ron,1631199,Toronto,Raptors,TOR,F,6-5,245,Rutgers,USA
9,Koloko,Christian,1631132,Toronto,Raptors,TOR,C,7-0,230,Arizona,Cameroon
10,Poeltl,Jakob,1627751,Toronto,Raptors,TOR,C,7-1,245,Utah,Austria
11,Porter Jr.,Otto,203490,Toronto,Raptors,TOR,F,6-8,198,Georgetown,USA
12,Siakam,Pascal,1627783,Toronto,Raptors,TOR,F,6-8,230,New Mexico State,Cameroon
13,Trent Jr.,Gary,1629018,Toronto,Raptors,TOR,G-F,6-5,209,Duke,USA
14,VanVleet,Fred,1627832,Toronto,Raptors,TOR,G,6-0,197,Wichita State,USA
15,Wieskamp,Joe,1630580,Toronto,Raptors,TOR,G-F,6-6,205,Iowa,USA
16,Young,Thaddeus,201152,Toronto,Raptors,TOR,F,6-8,235,Georgia Tech,USA
17,Adams,Steven,203500,Memphis,Grizzlies,MEM,C,6-11,265,Pittsburgh,New Zealand
18,Aldama,Santi,1630583,Memphis,Grizzlies,MEM,F-C,7-0,215,Loyola-Maryland,Spain
19,Bane,Desmond,1630217,Memphis,Grizzlies,MEM,G,6-5,215,TCU,USA
20,Brooks,Dillon,1628415,Memphis,Grizzlies,MEM,G-F,6-6,225,Oregon,Canada
21,Chandler,Kennedy,1631113,Memphis,Grizzlies,MEM,G,5-11,170,Tennessee,USA
22,Clarke,Brandon,1629634,Memphis,Grizzlies,MEM,F,6-8,215,Gonzaga,Canada
23,Jackson Jr.,Jaren,1628991,Memphis,Grizzlies,MEM,F-C,6-10,242,Michigan State,USA
24,Jones,Tyus,1626145,Memphis,Grizzlies,MEM,G,6-2,196,Duke,USA
25,Kennard,Luke,1628379,Memphis,Grizzlies,MEM,G,6-5,206,Duke,USA
26,Konchar,John,1629723,Memphis,Grizzlies,MEM,G,6-5,210,Indiana-Purdue Fort Wayne,USA
27,LaRavia,Jake,1631222,Memphis,Grizzlies,MEM,F,6-7,235,Wake Forest,USA
28,Lofton Jr.,Kenneth,1631254,Memphis,Grizzlies,MEM,F,6-6,275,Louisiana Tech,USA
29,Morant,Ja,1629630,Memphis,Grizzlies,MEM,G,6-2,174,Murray State,USA
30,Roddy,David,1631223,Memphis,Grizzlies,MEM,F,6-4,255,Colorado State,USA
31,Tillman,Xavier,1630214,Memphis,Grizzlies,MEM,F,6-7,245,Michigan State,USA
32,Williams,Ziaire,1630533,Memphis,Grizzlies,MEM,F,6-9,185,Stanford,USA
33,Williams Jr.,Vince,1631246,Memphis,Grizzlies,MEM,G,6-4,205,Virginia Commonwealth,USA
34,Adebayo,Bam,1628389,Miami,Heat,MIA,C-F,6-9,255,Kentucky,USA
35,Butler,Jimmy,202710,Miami,Heat,MIA,F,6-7,230,Marquette,USA
36,Cain,Jamal,1631288,Miami,Heat,MIA,F,6-6,191,Oakland,USA
37,Haslem,Udonis,2617,Miami,Heat,MIA,F,6-7,235,Florida,USA
38,Herro,Tyler,1629639,Miami,Heat,MIA,G,6-5,195,Kentucky,USA
39,Highsmith,Haywood,1629312,Miami,Heat,MIA,F,6-5,220,Wheeling Jesuit,USA
40,Jovic,Nikola,1631107,Miami,Heat,MIA,F,6-10,205,                                   ,Serbia
41,Love,Kevin,201567,Miami,Heat,MIA,F-C,6-8,251,UCLA,USA
42,Lowry,Kyle,200768,Miami,Heat,MIA,G,6-0,196,Villanova,USA
43,Martin,Caleb,1628997,Miami,Heat,MIA,F,6-5,205,Nevada,USA
44,Oladipo,Victor,203506,Miami,Heat,MIA,G,6-3,213,Indiana,USA
45,Robinson,Duncan,1629130,Miami,Heat,MIA,F,6-7,215,Michigan,USA
46,Robinson,Orlando,1631115,Miami,Heat,MIA,C,6-10,235,Fresno State,USA
47,Strus,Max,1629622,Miami,Heat,MIA,G-F,6-5,215,DePaul,USA
48,Vincent,Gabe,1629216,Miami,Heat,MIA,G,6-2,200,California-Santa Barbara,USA
49,Yurtseven,Omer,1630209,Miami,Heat,MIA,C,6-11,275,Georgetown,Turkey
50,Zeller,Cody,203469,Miami,Heat,MIA,F-C,6-11,240,Indiana,USA
51,Agbaji,Ochai,1630534,Utah,Jazz,UTA,G,6-5,215,Kansas,USA
52,Azubuike,Udoka,1628962,Utah,Jazz,UTA,C-F,6-11,270,Kansas,Nigeria
53,Clarkson,Jordan,203903,Utah,Jazz,UTA,G,6-5,194,Missouri,USA
54,Dunn,Kris,1627739,Utah,Jazz,UTA,G,6-3,205,Providence,USA
55,Fontecchio,Simone,1631323,Utah,Jazz,UTA,F,6-7,209,Baskonia,Italy
56,Gay,Rudy,200752,Utah,Jazz,UTA,F-G,6-8,250,Connecticut,USA
57,Horton-Tucker,Talen,1629659,Utah,Jazz,UTA,G,6-4,234,Iowa State,USA
58,Jones,Damian,1627745,Utah,Jazz,UTA,C,6-11,245,Vanderbilt,USA
59,Juzang,Johnny,1630548,Utah,Jazz,UTA,G,6-6,209,UCLA,USA
60,Kessler,Walker,1631117,Utah,Jazz,UTA,C,7-0,245,Auburn,USA
61,Markkanen,Lauri,1628374,Utah,Jazz,UTA,F-C,7-0,240,Arizona,Finland
62,Olynyk,Kelly,203482,Utah,Jazz,UTA,F-C,6-11,240,Gonzaga,Canada
63,Potter,Micah,1630695,Utah,Jazz,UTA,C,6-8,248,Wisconsin,USA
64,Sexton,Collin,1629012,Utah,Jazz,UTA,G,6-2,190,Alabama,USA
65,Toscano-Anderson,Juan,1629308,Utah,Jazz,UTA,F,6-6,209,Marquette,USA
66,Alexander-Walker,Nickeil,1629638,Minnesota,Timberwolves,MIN,G,6-5,205,Virginia Tech,Canada
67,Anderson,Kyle,203937,Minnesota,Timberwolves,MIN,F-G,6-9,230,UCLA,USA
68,Conley,Mike,201144,Minnesota,Timberwolves,MIN,G,6-1,175,Ohio State,USA
69,Edwards,Anthony,1630162,Minnesota,Timberwolves,MIN,G,6-4,225,Georgia,USA
70,Garza,Luka,1630568,Minnesota,Timberwolves,MIN,C,6-10,243,Iowa,USA
71,Gobert,Rudy,203497,Minnesota,Timberwolves,MIN,C,7-1,258,Cholet,France
72,Knight,Nathan,1630233,Minnesota,Timberwolves,MIN,F-C,6-8,253,William u0026 Mary,USA
73,McDaniels,Jaden,1630183,Minnesota,Timberwolves,MIN,F,6-9,185,Washington,USA
74,McLaughlin,Jordan,1629162,Minnesota,Timberwolves,MIN,G,6-0,185,Southern California,USA
75,Minott,Josh,1631169,Minnesota,Timberwolves,MIN,F,6-8,205,Memphis,USA
76,Moore Jr.,Wendell,1631111,Minnesota,Timberwolves,MIN,G,6-5,215,Duke,USA
77,Nowell,Jaylen,1629669,Minnesota,Timberwolves,MIN,G,6-4,201,Washington,USA
78,Prince,Taurean,1627752,Minnesota,Timberwolves,MIN,F,6-6,218,Baylor,USA
79,Reid,Naz,1629675,Minnesota,Timberwolves,MIN,C-F,6-9,264,Louisiana State,USA
80,Rivers,Austin,203085,Minnesota,Timberwolves,MIN,G,6-4,200,Duke,USA
81,Ryan,Matt,1630346,Minnesota,Timberwolves,MIN,F,6-6,215,Tennessee-Chattanooga,USA
82,Towns,Karl-Anthony,1626157,Minnesota,Timberwolves,MIN,C-F,7-0,248,Kentucky,USA
83,Allen,Grayson,1628960,Milwaukee,Bucks,MIL,G,6-4,198,Duke,USA
84,Antetokounmpo,Giannis,203507,Milwaukee,Bucks,MIL,F,7-0,243,Filathlitikos,Greece
85,Antetokounmpo,Thanasis,203648,Milwaukee,Bucks,MIL,F,6-7,219,Panathinaikos,Greece
86,Beauchamp,MarJon,1630699,Milwaukee,Bucks,MIL,F,6-7,199,NBA G League Ignite,USA
87,Carter,Jevon,1628975,Milwaukee,Bucks,MIL,G,6-1,200,West Virginia,USA
88,Connaughton,Pat,1626192,Milwaukee,Bucks,MIL,G,6-5,209,Notre Dame,USA
89,Crowder,Jae,203109,Milwaukee,Bucks,MIL,F,6-6,235,Marquette,USA
90,Dragic,Goran,201609,Milwaukee,Bucks,MIL,G,6-4,190,Union Olimpija,Slovenia
