,TEAM_NAME,Conference
0,Raptors,Eastern Conference
1,Grizzlies,Western Conference
2,Heat,Eastern Conference
3,Jazz,Western Conference
4,Timberwolves,Western Conference
5,Bucks,Eastern Conference
6,Cavaliers,Eastern Conference
7,Pelicans,Western Conference
8,Magic,Eastern Conference
9,Rockets,Western Conference
10,Wizards,Eastern Conference
11,Suns,Western Conference
12,Trail Blazers,Western Conference
13,Pistons,Eastern Conference
14,Warriors,Western Conference
15,Hornets,Eastern Conference
16,Bulls,Eastern Conference
17,Lakers,Western Conference
18,Spurs,Western Conference
19,Kings,Western Conference
20,Knicks,Eastern Conference
21,Clippers,Western Conference
22,Mavericks,Western Conference
23,Hawks,Eastern Conference
24,Nuggets,Western Conference
25,Nets,Eastern Conference
26,Pacers,Eastern Conference
27,Celtics,Eastern Conference
28,Thunder,Western Conference
29,76ers,Eastern Conference
